[2024-12-11 22:24:01,687][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:01,936][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:02,186][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:02,416][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:02,639][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:02,865][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:03,113][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:03,361][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:03,612][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:03,865][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:04,112][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:04,360][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:04,610][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:04,860][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:05,109][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:05,355][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:05,604][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:05,854][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:06,077][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:06,321][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:06,544][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:06,794][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:07,041][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:07,265][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:07,512][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:07,742][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:07,993][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:08,247][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:09,118][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:09,367][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:09,620][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:09,864][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:10,108][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:10,357][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:10,602][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:10,850][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:11,103][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:11,969][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:12,217][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:12,464][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:12,710][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:12,959][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:13,204][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:13,449][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:13,699][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:13,945][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:14,192][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:14,443][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:14,689][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:14,936][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:15,160][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:15,410][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:15,653][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:15,904][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:16,155][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:16,380][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:16,630][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:16,880][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:17,129][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:17,376][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:17,623][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:17,869][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:18,121][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:18,345][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:18,605][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:18,865][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:19,737][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:19,984][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:20,242][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:20,489][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:20,737][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:20,968][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:21,214][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:21,463][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:21,709][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
[2024-12-11 22:24:21,957][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp0e84vv61/huggingface.sqlite'
