[2024-12-12 09:24:25,369][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,371][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,372][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,374][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,375][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,376][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,377][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,379][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,380][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,381][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,382][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,383][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,385][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,386][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,387][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,388][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,389][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,390][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,391][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,393][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,394][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,395][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,396][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,397][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,398][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,399][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,401][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,402][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
