[2024-12-12 09:18:44,931][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,932][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,934][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,935][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,936][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,937][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,938][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,940][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,941][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,942][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,943][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,944][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,946][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,947][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,948][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,949][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,951][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,952][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,953][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,954][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,956][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,957][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,958][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,959][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:44,961][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
