[2024-12-11 18:18:32,154][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:32,366][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:32,581][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:32,798][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:33,019][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:33,237][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:33,454][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:33,675][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:33,887][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:34,099][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:34,323][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:34,536][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:34,751][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:34,970][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:35,183][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:35,398][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:35,614][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:35,828][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:36,043][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:36,260][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:36,474][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:36,692][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:36,907][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:37,127][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
