[2024-12-12 09:30:00,863][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,864][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,865][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,866][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,868][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,869][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,871][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,872][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,874][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,877][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,879][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,880][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,883][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,885][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,887][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,889][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,891][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,893][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,895][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,897][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,900][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,902][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,904][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,906][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,908][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,910][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,912][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,914][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:00,919][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,324][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,326][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,328][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,329][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,330][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,331][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,333][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,334][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,335][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,336][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,337][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,339][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,340][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,341][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,342][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,344][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,345][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,346][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,347][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,348][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,350][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,351][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,352][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,353][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,355][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
[2024-12-12 09:30:03,356][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpea7ww6el/huggingface.sqlite'
